epoch,accuracy,loss,val_accuracy,val_loss
0,0.36894547939300537,1.329325556755066,0.4265129566192627,1.2987024784088135
1,0.6227511763572693,1.019274115562439,0.6426513195037842,0.9431268572807312
2,0.7852200269699097,0.6108073592185974,0.6887608170509338,0.7826748490333557
3,0.8494325876235962,0.4161798357963562,0.7031700015068054,0.7679596543312073
4,0.8873512148857117,0.32125982642173767,0.6974063515663147,0.7993322610855103
5,0.9164129495620728,0.2569751739501953,0.6945244669914246,0.8583059310913086
6,0.9313589930534363,0.2089795470237732,0.6916426420211792,0.9202566146850586
7,0.945751428604126,0.17835240066051483,0.7060518860816956,0.9608173370361328
8,0.951287031173706,0.1488248109817505,0.6685879230499268,1.047959327697754
9,0.9584832787513733,0.13501213490962982,0.6945244669914246,1.0922839641571045
10,0.9620813727378845,0.11566779762506485,0.7031700015068054,1.1563115119934082
11,0.9667866230010986,0.10399920493364334,0.6858789920806885,1.2312630414962769
12,0.9692776203155518,0.09692998230457306,0.6858789920806885,1.2443339824676514
13,0.972045361995697,0.09001100063323975,0.6887608170509338,1.2504658699035645
14,0.975643515586853,0.08232391625642776,0.6887608170509338,1.3122835159301758
15,0.973706066608429,0.08571147173643112,0.6829971075057983,1.361336350440979
16,0.9745364189147949,0.07576290518045425,0.680115282535553,1.3975231647491455
17,0.9748131632804871,0.07107659429311752,0.6916426420211792,1.398934006690979
18,0.9775809645652771,0.0659664124250412,0.6829971075057983,1.395560622215271
19,0.975643515586853,0.06700823456048965,0.680115282535553,1.4569857120513916
20,0.9773041605949402,0.06364697962999344,0.6743515729904175,1.4473514556884766
21,0.9773041605949402,0.05961412563920021,0.6599423885345459,1.4967559576034546
22,0.9767506122589111,0.06045244261622429,0.6628242135047913,1.4909642934799194
23,0.9773041605949402,0.05551372468471527,0.6772334575653076,1.5300060510635376
24,0.9778577089309692,0.05938250198960304,0.6743515729904175,1.5493792295455933
